"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Namibia","NAM","2000",0.4831268,0.022409,0.5433161,0.007645,0.5503384,0.0205839,0.429404,0.043063,0.6522431,0.0351323,0.4613307,0.0326937
"Namibia","NAM","2005",0.4775386,0.015854,0.6123189,0.0031409,0.5358193,0.0154038,0.3449161,0.0552408,0.7281839,0.0173927,0.4690656,0.0122077
"Namibia","NAM","2010",0.5245808,0.0358904,0.7299541,0.0055266,0.4979757,0.0304605,0.3629616,0.0664129,0.753003,0.0657074,0.4251803,0.0211139
"Nepal","NPL","1990",0.3600913,0.0825682,,,,,,,0.6645852,0.0094386,,
"Nepal","NPL","1995",0.3360271,0.1025741,,,,,,,0.5311045,0.032802,,
"Nepal","NPL","2000",0.4196583,0.0437474,,,,,,,0.5541852,0.0245038,,
"Nepal","NPL","2005",0.4883003,0.0081337,,,,,0.4944189,0.0473306,0.6765705,0.0120107,,
"Nepal","NPL","2010",0.4916058,0.011561,0.5657483,0.0142432,,,,,0.5813191,0.0448016,,
"Netherlands","NLD","1990",0.7617325,0.0437729,,,0.5981521,0.089635,0.5442585,0.0152784,0.7398755,0.0108583,0.711279,0.0595133
"Netherlands","NLD","1995",0.8197789,0.0150865,,,0.5305624,0.046187,0.5572756,0.0203311,0.7386898,0.0220873,,
"Netherlands","NLD","2000",0.6745022,0.0275448,,,0.5417379,0.0705507,0.6476759,0.0865429,0.8042114,0.033003,0.5924165,0.0073511
"Netherlands","NLD","2005",0.6118157,0.0187349,0.634383,0.0047729,0.574832,0.087729,0.5450399,0.0599823,0.7565851,0.0091593,0.5221162,0.0123485
"Netherlands","NLD","2010",0.6172847,0.033346,0.7518668,0.0043913,0.5905402,0.1326318,0.5671575,0.0615698,0.9060732,0.0384085,0.5204902,0.0185696
"Netherlands Antilles","ANT","1990",,,,,,,,,0.7881905,0.0141642,,
"Netherlands Antilles","ANT","1995",,,,,,,,,,,,
"Netherlands Antilles","ANT","2000",,,,,,,,,0.7282882,0.0282488,,
"Netherlands Antilles","ANT","2005",,,,,,,,,0.7791954,0.0100571,,
"Netherlands Antilles","ANT","2010",,,,,,,,,1.023933,0.0479079,,
"New Caledonia","NCL","1990",,,,,,,,,0.7060907,0.0010854,,
"New Caledonia","NCL","1995",,,,,,,,,,,,
"New Caledonia","NCL","2000",,,,,,,,,,,,
"New Caledonia","NCL","2005",,,,,,,,,0.7532959,0.0211405,,
"New Caledonia","NCL","2010",,,,,,,,,0.8395331,0.0705588,,
"New Zealand","NZL","1990",0.6838704,0.0995959,0.7087893,0.0081978,0.6514364,,0.5232449,0.0205481,0.7699696,0.0113734,,
"New Zealand","NZL","1995",0.7285941,0.0735119,0.6885062,0.0070421,0.5365211,,0.5250527,0.0233499,0.7861156,0.0232678,0.5738508,0.039782
"New Zealand","NZL","2000",0.6283488,0.036058,0.5869209,0.005523,0.5586733,0.0380313,0.6054903,0.118326,0.8353673,0.0274261,0.5717677,0.0227699
"New Zealand","NZL","2005",0.5908408,0.0277227,0.6582037,0.0079912,0.6168416,0.0702117,0.5583534,0.0427184,0.7900691,0.0098674,0.5310106,0.0163812
"New Zealand","NZL","2010",0.6080107,0.033806,0.7757637,0.0059371,0.6278322,0.081223,0.5411551,0.063786,0.9578928,0.0287545,0.5390944,0.0213077
"Nicaragua","NIC","1990",0.4764601,0.0064395,0.4771811,0.0109234,,,,,0.7052302,0.0122996,,
"Nicaragua","NIC","1995",0.5005479,0.0179428,0.5260186,0.0165191,0.5259673,0.0050013,0.513744,0.0103777,0.6496422,0.0250891,,
"Nicaragua","NIC","2000",0.4880205,0.0144611,0.5394235,0.0035887,0.5094655,0.0651208,0.474668,0.0706088,0.6365356,0.0183002,0.4915175,0.0146639
"Nicaragua","NIC","2005",0.4936076,0.0118366,0.6082435,0.0051143,0.5116573,0.1350529,0.356519,0.0174271,0.7251773,0.0137998,0.4670721,0.0179732
"Nicaragua","NIC","2010",0.4814732,0.0178839,0.7185735,0.0059273,0.5963917,0.0871993,0.3748673,0.0509834,0.7096173,0.0210817,0.4544288,0.0174239
"Niger","NER","1990",0.3702052,0.04133,0.5609857,0.0143138,,,,,0.6386665,0.01183,,
"Niger","NER","1995",0.3196341,0.0433738,0.5728617,0.012521,,,,,0.4927952,0.0126005,,
"Niger","NER","2000",0.3657207,0.0276497,0.5591245,0.0058292,,,,,0.5033885,0.0062706,,
"Niger","NER","2005",0.4426664,0.0044837,0.5822585,0.0081648,,,,,0.6441334,0.0060147,0.4278885,0.011094
"Niger","NER","2010",0.4285512,0.006418,0.5750344,0.0187278,,,,,0.5514297,0.0394087,0.3991015,0.0097998
"Nigeria","NGA","1990",0.5131736,0.0387514,0.6106348,0.0065388,0.3347887,,,,0.6645083,0.0093708,0.2778636,0.0414314
"Nigeria","NGA","1995",0.4950182,0.0361399,0.6127974,0.0060535,0.5500041,,,,0.4487752,0.0266411,0.5058808,0.0315701
"Nigeria","NGA","2000",0.4630051,0.0342884,0.4029411,0.0087873,0.5679852,0.0053268,0.4767193,0.0644145,0.5105436,0.0160954,0.4418007,0.0213528
"Nigeria","NGA","2005",0.4742492,0.0211738,0.4249001,0.005119,0.62633,0.0462222,0.3766163,0.0919359,0.6428387,0.0047975,0.4102479,0.0203107
"Nigeria","NGA","2010",0.4983372,0.0240547,0.2040201,0.0132954,0.6508372,0.0761573,0.3744747,0.1095624,0.47464,0.01877,0.3106538,0.0199566
"Northern Mariana Islands","MNP","1990",,,,,,,,,,,,
"Northern Mariana Islands","MNP","1995",,,,,,,,,,,,
"Northern Mariana Islands","MNP","2000",,,,,,,,,,,,
"Northern Mariana Islands","MNP","2005",,,,,,,,,,,,
"Northern Mariana Islands","MNP","2010",,,,,,,,,,,,
"Norway","NOR","1990",0.7610542,0.0391485,,,0.6224691,,0.5706761,0.0113903,0.7666197,0.0077977,0.7223191,0.0489157
"Norway","NOR","1995",0.8243442,0.0516856,,,0.5377545,,0.600189,0.0216367,0.7952834,0.0141749,0.7249248,0.0131383
"Norway","NOR","2000",0.6764087,0.0221652,,,0.5380089,0.0359326,0.6755582,0.0968706,0.7773261,0.0223733,,
"Norway","NOR","2005",0.6697198,0.0473129,0.6836369,0.0087766,0.5650502,0.0559207,0.5711917,0.060344,0.772428,0.0088195,0.5763208,0.0135997
"Norway","NOR","2010",0.6610675,0.0186634,0.7853045,0.0070598,0.5520885,0.0410941,0.6489965,0.0446039,0.9685212,0.0426205,0.591206,0.0110536
"Oman","OMN","1990",0.4678013,0.094372,,,,,,,0.6324152,0.0225062,,
"Oman","OMN","1995",0.4525545,0.0951638,,,,,,,0.5582553,0.0499935,,
"Oman","OMN","2000",0.4835455,0.0552316,,,,,,,0.5763866,0.0255687,,
"Oman","OMN","2005",0.4796801,0.0229151,0.6639837,0.0075009,,,0.6106603,0.0540416,0.6908727,0.0161287,,
"Oman","OMN","2010",0.4824564,0.0295715,0.7584006,0.0052272,,,0.6453401,0.0491729,0.6585644,0.0554475,,
"Pakistan","PAK","1990",0.4180617,0.0881782,0.5341682,0.0039423,,,,,0.5670987,0.0155637,,
"Pakistan","PAK","1995",0.4401381,0.0825898,0.5500324,0.0078547,,,,,0.2117552,0.0579662,,
"Pakistan","PAK","2000",0.4381467,0.0468748,0.4657,0.0019691,0.3478886,,0.5808586,0.0693821,0.5124128,0.0216442,0.4557298,0.0150472
"Pakistan","PAK","2005",0.4747659,0.0228146,0.402265,0.0033162,0.304284,,0.4457421,0.1218693,0.6124135,0.0147379,0.4138935,0.0114576
"Pakistan","PAK","2010",0.473008,0.031576,0.3999506,0.0121909,0.296542,,0.3294269,0.0856173,0.4222947,0.0341,0.3197152,0.0222298
"Palau","PLW","1990",,,,,,,,,,,,
"Palau","PLW","1995",,,,,,,,,,,,
"Palau","PLW","2000",,,,,,,,,,,,
"Palau","PLW","2005",,,,,,,,,,,,
"Palau","PLW","2010",,,,,,,,,,,,
"Panama","PAN","1990",0.4886163,0.0223836,0.6312206,0.0020161,,,,,0.7166359,0.0117957,,
"Panama","PAN","1995",0.4989232,0.0329237,0.6170126,0.0027375,0.44986,0.0223516,0.5289372,0.0092015,0.7135252,0.0213408,,
"Panama","PAN","2000",0.5302688,0.027138,0.5677608,0.0017064,0.4716436,0.0659707,0.5482677,0.0504196,0.7452213,0.0295835,0.4889916,0.0131693
"Panama","PAN","2005",0.503017,0.0087532,0.6242515,0.0036799,0.434262,0.071225,0.4528135,0.0603245,0.7560608,0.0126098,0.4695878,0.010888
"Panama","PAN","2010",0.5049627,0.0172686,0.7338354,0.0025754,0.451988,0.0335156,0.4373047,0.0649621,0.8729492,0.0529258,0.4197117,0.0162067
